path	top_level	audit_unit	file_kind	workstream	status	evidence_refs	cross_refs	notes
.github/dependabot.yml	.github	.github/dependabot.yml	policy	W03	done	CMD-1219,CMD-1220,CMD-1223,CMD-1224		
.github/PULL_REQUEST_TEMPLATE.md	.github	.github/PULL_REQUEST_TEMPLATE.md	policy	W03	done	CMD-1219,CMD-1220,CMD-1223,CMD-1224		
.github/RELEASE_NOTES_TEMPLATE.md	.github	.github/RELEASE_NOTES_TEMPLATE.md	policy	W03	done	CMD-1219,CMD-1220,CMD-1223,CMD-1224		
.github/workflows/api-audit.yml	.github	.github/workflows	workflow	W03	done	CMD-1219,CMD-1220,CMD-1223,CMD-1224		
.github/workflows/api-docs.yml	.github	.github/workflows	workflow	W03	done	CMD-1219,CMD-1220,CMD-1223,CMD-1224		
.github/workflows/ci.yml	.github	.github/workflows	workflow	W03	done	CMD-1219,CMD-1220,CMD-1223,CMD-1224		
.github/workflows/deploy.yml	.github	.github/workflows	workflow	W03	done	CMD-1219,CMD-1220,CMD-1223,CMD-1224		
.github/workflows/docs-deploy.yml	.github	.github/workflows	workflow	W03	done	CMD-1219,CMD-1220,CMD-1223,CMD-1224		
.github/workflows/explorer-deploy.yml	.github	.github/workflows	workflow	W03	done	CMD-1219,CMD-1220,CMD-1223,CMD-1224		
.github/workflows/k6-weekly.yml	.github	.github/workflows	workflow	W03	done	CMD-1219,CMD-1220,CMD-1223,CMD-1224		
.github/workflows/release-validate.yml	.github	.github/workflows	workflow	W03	done	CMD-1219,CMD-1220,CMD-1223,CMD-1224		
.github/workflows/release.yml	.github	.github/workflows	workflow	W03	done	CMD-1219,CMD-1220,CMD-1223,CMD-1224		
.github/workflows/status-page.yml	.github	.github/workflows	workflow	W03	done	CMD-1219,CMD-1220,CMD-1223,CMD-1224		
.gitignore	(root)	.gitignore	unknown	W01	done	EV-1201,EV-1202,EV-1218		
.gitleaks.toml	(root)	.gitleaks.toml	config	W01	done	EV-1201,EV-1202,EV-1218		
.golangci.yml	(root)	.golangci.yml	config	W01	done	EV-1201,EV-1202,EV-1218		
.spectral.yaml	(root)	.spectral.yaml	config	W01	done	EV-1201,EV-1202,EV-1218		
AGENTS.md	(root)	AGENTS.md	documentation	W01	done	EV-1201,EV-1202,EV-1218		
CHANGELOG.md	(root)	CHANGELOG.md	documentation	W01	done	EV-1201,EV-1202,EV-1218		
CLAUDE.md	(root)	CLAUDE.md	documentation	W01	done	EV-1201,EV-1202,EV-1218		
cmd/ratesengine-aggregator/change_summary.go	cmd	cmd/ratesengine-aggregator	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-aggregator/contribution_sink.go	cmd	cmd/ratesengine-aggregator	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-aggregator/main_test.go	cmd	cmd/ratesengine-aggregator	test	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-aggregator/main.go	cmd	cmd/ratesengine-aggregator	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-api/main_test.go	cmd	cmd/ratesengine-api	test	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-api/main.go	cmd	cmd/ratesengine-api	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-indexer/main_test.go	cmd	cmd/ratesengine-indexer	test	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-indexer/main.go	cmd	cmd/ratesengine-indexer	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-migrate/main.go	cmd	cmd/ratesengine-migrate	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/backfill_test.go	cmd	cmd/ratesengine-ops	test	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/backfill.go	cmd	cmd/ratesengine-ops	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/cross_region_check_test.go	cmd	cmd/ratesengine-ops	test	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/cross_region_check.go	cmd	cmd/ratesengine-ops	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/cross_region_monitor_test.go	cmd	cmd/ratesengine-ops	test	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/cross_region_monitor.go	cmd	cmd/ratesengine-ops	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/discovery.go	cmd	cmd/ratesengine-ops	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/hubble_check_test.go	cmd	cmd/ratesengine-ops	test	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/hubble_check.go	cmd	cmd/ratesengine-ops	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/hubble_soroban_events_test.go	cmd	cmd/ratesengine-ops	test	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/hubble_soroban_events.go	cmd	cmd/ratesengine-ops	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/main.go	cmd	cmd/ratesengine-ops	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/mint_key.go	cmd	cmd/ratesengine-ops	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/seed_soroswap_pairs.go	cmd	cmd/ratesengine-ops	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/sep1_refresh.go	cmd	cmd/ratesengine-ops	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/supply.go	cmd	cmd/ratesengine-ops	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/upgrade_key.go	cmd	cmd/ratesengine-ops	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/verify_archive_chunks_integration_test.go	cmd	cmd/ratesengine-ops	test	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/verify_archive_chunks_test.go	cmd	cmd/ratesengine-ops	test	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/verify_archive_chunks.go	cmd	cmd/ratesengine-ops	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/wasm_extract_test.go	cmd	cmd/ratesengine-ops	test	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/wasm_extract.go	cmd	cmd/ratesengine-ops	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-ops/wasm_history_test.go	cmd	cmd/ratesengine-ops	test	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-sla-probe/main_test.go	cmd	cmd/ratesengine-sla-probe	test	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-sla-probe/main.go	cmd	cmd/ratesengine-sla-probe	runtime	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-sla-probe/textfile_test.go	cmd	cmd/ratesengine-sla-probe	test	W13	done	agent W14/W19/W22 walk; J21		
cmd/ratesengine-sla-probe/textfile.go	cmd	cmd/ratesengine-sla-probe	runtime	W13	done	agent W14/W19/W22 walk; J21		
CODE_OF_CONDUCT.md	(root)	CODE_OF_CONDUCT.md	documentation	W01	done	EV-1201,EV-1202,EV-1218		
CODEOWNERS	(root)	CODEOWNERS	policy	W01	done	EV-1201,EV-1202,EV-1218		
commitlint.config.js	(root)	commitlint.config.js	frontend	W01	done	EV-1201,EV-1202,EV-1218		
configs/alertmanager/alertmanager.r1.yml	configs	configs/alertmanager	config	W14	done	agent W14/W19/W22 walk; CMD-1230		
configs/alertmanager/apply.sh	configs	configs/alertmanager	config	W14	done	agent W14/W19/W22 walk; CMD-1230		
configs/alertmanager/README.md	configs	configs/alertmanager	config	W14	done	agent W14/W19/W22 walk; CMD-1230		
configs/ansible/ansible.cfg	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/inventory/r1.example.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/inventory/r2.example.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/inventory/r3.example.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/playbooks/archival-node.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/playbooks/deploy-binary.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/playbooks/monitoring.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/README.md	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/requirements.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/defaults/main.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/files/galexie-append.sh	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/files/galexie-archive-fill.sh	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/files/galexie-backfill-status.sh	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/files/node-healthcheck.sh	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/handlers/main.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/01-preflight.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/02-kernel.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/03-zfs.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/04-users.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/05-postgres.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/06-stellar-core.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/07-galexie.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/08-stellar-rpc.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/09-minio.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/10-observability.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/11-firewall.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/12-hardening.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/13-healthcheck.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/14-ratesengine-services.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/15-log-discipline.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/tasks/main.yml	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/templates/galexie.toml.j2	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
configs/ansible/roles/archival-node/templates/minio.env.j2	configs	configs/ansible	config	W05	done	EV-1235,EV-1237,EV-1238		
